item_id,item_name,year,yoy_inflation_pct,category,price,threshold
Afta After Shave|3 oz,Afta After Shave,2020,358.33333333333337,HYGIENE,2.75,171.55990783410124
ClearTech Lift Off|,ClearTech Lift Off,2023,242.8571428571429,ELECTRICAL,1.2,171.55990783410124
Earbud-Stereo|,Earbud-Stereo,2022,225.0,ELECTRICAL,3.25,171.55990783410124
Eraser-Pencil/Ink|,Eraser-Pencil/Ink,2023,185.71428571428572,CORRESPONDENCE,1.0,171.55990783410124
Eyeliner/Brow Pencil-.05 oz|,Eyeliner/Brow Pencil-.05 oz,2021,650.0,FEMALE ONLY,5.25,171.55990783410124
Foundation-Asst Shades|1 oz,Foundation-Asst Shades,2020,892.8571428571429,FEMALE ONLY,6.95,171.55990783410124
Protractor Ruler|,Protractor Ruler,2023,185.71428571428572,ART SUPPLIES,1.0,171.55990783410124
T-Shirts|,T-Shirts,2025,175.80645161290323,CLOTHING,21.375,171.55990783410124
Terbinafine Antifungal Crm-.5 oz|,Terbinafine Antifungal Crm-.5 oz,2021,1000.0,"OTC MEDICATIONS, VITAMINS, ETC",6.6,171.55990783410124
