comparison_category,commissary_item_name,commissary_category,commissary_size,commissary_size_oz,commissary_unit,commissary_price,commissary_price_per_oz,retail_items_count,retail_price_per_oz_avg,retail_price_per_oz_median,retail_price_per_oz_min,retail_price_per_oz_max,price_difference_per_oz,markup_percentage,essential_status
Colombian coffee,EK Columbian Coffee,INSTANT DRINK MIXES,4.5 oz,4.5,oz,4.75,1.0555555555555556,40,0.8072886660537102,0.7483333333333334,0.1280952380952381,1.665,0.2482668895018454,30.75317416698723,essential
Colombian coffee,EK Plantation Coffee,INSTANT DRINK MIXES,4.5 oz,4.5,oz,1.45,0.3222222222222222,40,0.8072886660537102,0.7483333333333334,0.1280952380952381,1.665,-0.485066443831488,-60.08587314902496,essential
Instant ramen,EH Low Sodium Ramen Noodles,INSTANT FOODS,,,,0.35,,103,0.5003327139632607,0.4028313253012048,0.15666666666666665,1.3694444444444442,,,essential
Instant ramen,Thai Chili Noodle,INSTANT FOODS,,,,1.35,,103,0.5003327139632607,0.4028313253012048,0.15666666666666665,1.3694444444444442,,,essential
Peanut butter,EK Creamy Peanut Butter,CONDIMENTS,18 oz,18.0,oz,2.95,0.1638888888888889,154,0.42400793993478797,0.31125,0.01,1.6791044776119401,-0.26011905104589905,-61.3476839810842,essential
Oatmeal,EH Oatmeal Variety (10 Pk),INSTANT FOODS,12.4oz,12.4,oz,2.4,0.1935483870967742,60,0.34584102783008214,0.28,0.09452380952380952,1.028301886792453,-0.15229264073330795,-44.03544648500525,essential
Snickers bar,Snickers Candy Bar,CANDY,1.86 oz,1.86,oz,1.5,0.8064516129032258,17,0.7957083512873394,0.5488578936729331,0.236,2.64,0.010743261615886346,1.3501506674531345,non-essential
Bar soap,Exfoliating Pouch Bar Soap,FEMALE ONLY,,,,3.0,,56,1.166792452834032,1.02075,0.155625,2.6613333333333333,,,non-essential
Bar soap,Antibacterial Soap,HYGIENE,1.25 oz,1.25,oz,0.15,0.12,56,1.166792452834032,1.02075,0.155625,2.6613333333333333,-1.046792452834032,-89.71539456665741,essential
Bar soap,Dial Soap,HYGIENE,1.25 oz,1.25,oz,0.4,0.32,56,1.166792452834032,1.02075,0.155625,2.6613333333333333,-0.846792452834032,-72.57438551108646,essential
Bar soap,Soap Dish -Plastic,HYGIENE,,,,0.55,,56,1.166792452834032,1.02075,0.155625,2.6613333333333333,,,essential
Bar soap,White Rain 2pk 4oz Soap,HYGIENE,,,,1.4,,56,1.166792452834032,1.02075,0.155625,2.6613333333333333,,,essential
Shampoo,Ad Seg Shampoo,HYGIENE,4 oz,4.0,oz,0.55,0.1375,53,0.7886824911712136,0.36819999999999997,0.076,4.42,-0.6511824911712136,-82.56586122562338,essential
Shampoo,Dandruff Shampoo,HYGIENE,12 oz,12.0,oz,2.25,0.1875,53,0.7886824911712136,0.36819999999999997,0.076,4.42,-0.6011824911712136,-76.22617439857734,essential
Shampoo,Shampoo,HYGIENE,15 oz,15.0,oz,1.375,0.09166666666666666,53,0.7886824911712136,0.36819999999999997,0.076,4.42,-0.6970158245045469,-88.37724081708225,essential
Shampoo,White Rain 2-1 Shampoo & Cond.,HYGIENE,,,,1.5,,53,0.7886824911712136,0.36819999999999997,0.076,4.42,,,essential
Toothpaste,Ad Seg Colgate,HYGIENE,1 oz,1.0,oz,1.0,1.0,46,1.5355864896736093,1.3005882352941176,0.1781818181818182,4.98,-0.5355864896736093,-34.87830176126705,essential
Toothpaste,Colgate Toothpaste,HYGIENE,6 oz,6.0,oz,3.0,0.5,46,1.5355864896736093,1.3005882352941176,0.1781818181818182,4.98,-1.0355864896736093,-67.43915088063352,essential
Toothpaste,Sensodyne Toothpaste,HYGIENE,4 oz,4.0,oz,10.5,2.625,46,1.5355864896736093,1.3005882352941176,0.1781818181818182,4.98,1.0894135103263907,70.944457876674,essential
Deodorant stick,Mennen Deodorant,MALE ONLY,3 oz,3.0,oz,1.9,0.6333333333333333,41,3.3647278511887846,2.8343846153846153,0.8233333333333334,7.68076923076923,-2.7313945178554513,-81.17727907445556,essential
Body lotion,Aloe Lotion,HYGIENE,15 oz,15.0,oz,1.6,0.10666666666666667,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,-0.6762772340853908,-86.37620568163211,essential
Body lotion,Antibacterial Lotion,HYGIENE,4 oz,4.0,oz,1.6,0.4,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,-0.3829439007520574,-48.910771306120445,essential
Body lotion,Cocoa Butter Lotion,HYGIENE,15 oz,15.0,oz,1.6,0.10666666666666667,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,-0.6762772340853908,-86.37620568163211,essential
Body lotion,Lubriderm Lotion,HYGIENE,,,,6.0,,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,,,essential
Body lotion,Spa Naturals Lotion,HYGIENE,,,,2.5,,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,,,essential
Body lotion,White Rain Aloe Lotion,HYGIENE,,,,1.3,,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,,,essential
Body lotion,White Rain Coco Butter Lotion,HYGIENE,,,,1.3,,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,,,essential
Body lotion,Calamine Lotion,"OTC MEDICATIONS, VITAMINS, ETC",6 oz,6.0,oz,2.75,0.4583333333333333,59,0.7829439007520574,0.623125,0.21321428571428572,2.994,-0.3246105674187241,-41.46025878826301,essential
